geneID	MH	US	GH	AN
GRMZM2G380377	0	0	0	0
GRMZM2G107756	0	0	0	0
GRMZM2G051338	1	0	0	1
GRMZM2G139073	0	1	0	1
GRMZM2G027995	0	0	0	0
GRMZM2G113244	1	1	1	1
GRMZM2G423833	0	0	0	0
GRMZM2G093789	0	0	0	0
GRMZM2G343068	0	0	1	0
GRMZM2G057408	0	0	1	0
GRMZM2G161666	0	0	0	0
GRMZM2G161680	1	0	0	1
GRMZM2G101499	0	0	0	0
GRMZM2G401835	0	0	0	0
GRMZM2G401821	0	0	0	0
GRMZM2G074438	0	0	0	0
GRMZM2G376684	0	1	0	0
GRMZM2G075064	0	1	0	0
GRMZM2G004334	0	0	0	0
GRMZM2G156517	1	0	1	0
GRMZM2G325679	0	0	0	0
GRMZM2G008166	0	0	0	0
GRMZM2G142751	0	1	0	0
GRMZM2G156910	0	0	0	0
GRMZM2G012717	0	0	0	0
GRMZM2G117057	0	0	0	0
GRMZM2G153250	0	0	0	1
GRMZM2G052890	1	1	0	0
GRMZM2G124915	0	1	0	1
GRMZM2G044301	0	0	0	0
GRMZM2G177001	1	0	1	0
GRMZM2G013657	0	1	0	0
GRMZM2G173630	1	0	0	1
GRMZM2G363116	0	0	0	0
AC209636.2_FG003	1	1	0	1
GRMZM2G398055	0	0	0	0
GRMZM2G129247	1	0	0	0
GRMZM2G125976	0	0	0	0
GRMZM2G037286	0	0	0	0
GRMZM2G117458	0	0	0	1
GRMZM2G117582	0	1	1	0
GRMZM2G440949	0	0	0	0
AC226373.2_FG010	0	0	0	0
GRMZM2G006207	0	0	0	0
GRMZM2G435475	0	0	0	0
GRMZM2G141756	0	0	1	0
GRMZM2G432801	0	0	0	0
GRMZM2G059939	0	0	1	0
GRMZM2G038284	0	0	1	0
GRMZM2G402936	0	0	0	0
GRMZM2G366778	0	0	0	0
GRMZM2G145556	0	0	1	0
AC233870.1_FG003	1	0	1	1
AC233870.1_FG003	1	0	1	1
GRMZM2G402002	0	0	0	0
GRMZM2G108589	1	0	0	1
GRMZM2G019879	0	0	0	0
GRMZM2G072582	1	1	0	1
GRMZM5G845755	0	0	1	0
GRMZM2G008234	1	0	1	0
GRMZM2G406014	0	0	0	0
GRMZM2G006716	0	0	0	0
GRMZM2G164454	0	0	0	0
GRMZM2G398996	0	0	0	0
GRMZM2G320298	0	0	0	0
GRMZM2G011742	0	0	0	1
GRMZM2G021416	0	0	0	0
GRMZM2G097726	1	1	1	0
GRMZM2G156692	0	0	0	1
GRMZM2G152822	0	0	0	0
GRMZM2G091449	1	1	0	1
AC233912.1_FG001	0	0	0	0
AC233961.1_FG001	0	1	1	0
GRMZM2G165098	0	0	1	0
GRMZM2G176175	1	0	0	0
GRMZM2G109252	0	0	0	0
GRMZM2G034288	0	0	1	0
GRMZM2G142168	1	1	0	0
GRMZM2G012654	0	0	0	0
GRMZM2G160316	0	0	0	1
GRMZM2G013794	0	1	0	1
GRMZM2G388253	0	0	0	0
GRMZM2G470740	0	0	0	0
GRMZM2G173756	0	0	0	0
GRMZM2G131489	0	0	0	0
GRMZM2G106903	0	1	0	0
GRMZM2G391795	0	0	0	0
GRMZM2G091265	1	0	0	0
GRMZM2G025646	0	0	1	0
GRMZM2G141219	0	1	0	1
GRMZM2G089850	0	0	0	0
GRMZM2G078691	0	1	0	1
